article_id,column1,column2,column3,column4
6216067, Individuals or households||| Other, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Drought||| General climate impacts||| Increased frequency and intensity of extreme heat||| Precipitation variability||| Extreme precipitation and inland flooding, Food security
6216068, Individuals or households||| Other, Technological/infrastructural|||Behavioural/cultural, Drought||| General climate impacts, Food security|||Poverty
6216069, Civil Society- international/multinational/national||| Civil Society- sub-national or local||| Local government||| National government||| Private sector corporations||| Sub-national government|||International or multinational governance institutions||| Individuals or households, Institutional||| Ecosystem-based, General climate impacts, No information or not assessed2||| Sustainable cities & communities
6216070, Individuals or households||| National government||| Other, Technological/infrastructural|||Behavioural/cultural, General climate impacts, Food security|||Poverty
6216071, Local government||| Civil Society- international/multinational/national||| Individuals or households, Ecosystem-based, General climate impacts, Clean water & sanitation||| Food security||| Work and economic growth
6216072, Individuals or households||| Other, Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Drought||| Extreme precipitation and inland flooding||| Precipitation variability||| Other1, Food security||| Health & wellbeing
6216073, Civil Society- international/multinational/national||| Individuals or households|||International or multinational governance institutions||| Civil Society- sub-national or local, Institutional||| Ecosystem-based|||Behavioural/cultural, No information or not assessed1||| General climate impacts, Food security||| Education
6216074, National government||| Local government||| Sub-national government||| Private sector corporations||| Other||| Civil Society- sub-national or local, Institutional, Extreme precipitation and inland flooding||| General climate impacts, Other2||| Peace justice & strong institutions
6216076, Individuals or households||| Civil Society- sub-national or local||| National government,Behavioural/cultural, Extreme precipitation and inland flooding||| Other1, Sustainable cities & communities
6216077, National government||| Private sector SMEs||| Private sector corporations|||International or multinational governance institutions, Institutional|||Behavioural/cultural||| Technological/infrastructural, General climate impacts||| Extreme precipitation and inland flooding|||Sea level rise||| Other1, Industry/innovation/technology||| Marine & coastal ecosystem services||| Sustainable cities & communities||| Work and economic growth
6216079, Individuals or households||| Civil Society- sub-national or local, Ecosystem-based, No information or not assessed1,Poverty||| Food security||| Terrestrial & freshwater ecosystem services
6216081, Individuals or households, Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural, Drought||| Precipitation variability||| Other1||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| General climate impacts, Food security||| Work and economic growth|||Poverty
6216082, Individuals or households,Behavioural/cultural||| Technological/infrastructural, General climate impacts||| Precipitation variability, Food security
6216084, Individuals or households, Ecosystem-based||| Technological/infrastructural, Drought||| General climate impacts||| Increased frequency and intensity of extreme heat, Work and economic growth|||Poverty||| Food security
6216085, Individuals or households||| Local government, Ecosystem-based|||Behavioural/cultural, General climate impacts, Food security|||Poverty
6216086, National government, Ecosystem-based, Drought, Terrestrial & freshwater ecosystem services
6216089, Civil Society- international/multinational/national||| Private sector SMEs||| Individuals or households, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, Drought||| General climate impacts, Food security|||Poverty||| Health & wellbeing||| Other2
